position,name,country
MF,Axel Witsel,BEL
MF,Kevin De Bruyne,BEL
MF,Youri Tielemans,BEL
FW,Romelu Lukaku,BEL
FW,Leandro Trossard,BEL
FW,Jérémy Doku,BEL
GK,Senne Lammens,BEL
GK,Mike Penders,BEL
FW,Dodi Lukébakio,BEL
DF,Thomas Meunier,BEL
DF,Koni De Winter,BEL
FW,Charles De Ketelaere,BEL
DF,Joaquin Seys,BEL
MF,Diego Moreira,BEL
MF,Hans Vanaken,BEL
DF,Timothy Castagne,BEL
MF,Alexis Saelemaekers,BEL
MF,Nicolas Raskin,BEL
MF,Amadou Onana,BEL
DF,Nathan Ngoy,BEL
FW,Matias Fernandez-Pardo,BEL
GK,Mohamed El Shenawy,EGY
DF,Yasser Ibrahim,EGY
DF,Mohamed Hany,EGY
DF,Hossam Abdelmaguid,EGY
DF,Ramy Rabia,EGY
DF,Mohamed Abdelmonem,EGY
FW,Trézéguet,EGY
MF,Emam Ashour,EGY
FW,Hamza Abdelkarim,EGY
FW,Mohamed Salah,EGY
MF,Mostafa Ziko,EGY
FW,Haissem Hassan,EGY
DF,Ahmed Fatouh,EGY
MF,Hamdy Fathy,EGY
DF,Karim Hafez,EGY
GK,El Mahdy Soliman,EGY
MF,Mohanad Lasheen,EGY
MF,Nabil Emad,EGY
MF,Marwan Attia,EGY
FW,Ibrahim Adel,EGY
MF,Mahmoud Saber,EGY
FW,Omar Marmoush,EGY
GK,Mostafa Shobeir,EGY
DF,Tarek Alaa,EGY
FW,Zizo,EGY
GK,Mohamed Alaa,EGY
GK,Alireza Beiranvand,IRN
DF,Saleh Hardani,IRN
DF,Ehsan Hajsafi,IRN
DF,Shojae Khalilzadeh,IRN
DF,Milad Mohammadi,IRN
MF,Saeid Ezatolahi,IRN
MF,Alireza Jahanbakhsh,IRN
MF,Mohammad Mohebi,IRN
FW,Mehdi Taremi,IRN
FW,Mehdi Ghayedi,IRN
FW,Ali Alipour,IRN
GK,Payam Niazmand,IRN
DF,Hossein Kanaanizadegan,IRN
MF,Saman Ghoddos,IRN
MF,Rouzbeh Cheshmi,IRN
MF,Mehdi Torabi,IRN
DF,Aria Yousefi,IRN
FW,Amirhossein Hosseinzadeh,IRN
DF,Ali Nemati,IRN
FW,Shahriyar Moghanlou,IRN
MF,Mohammad Ghorbani,IRN
GK,Hossein Hosseini,IRN
DF,Ramin Rezaeian,IRN
FW,Dennis Eckert,IRN
DF,Danial Eiri,IRN
MF,Amirmohammad Razzaghinia,IRN
GK,Max Crocombe,NZL
DF,Tim Payne,NZL
DF,Francis de Vries,NZL
DF,Tyler Bindon,NZL
DF,Michael Boxall,NZL
MF,Joe Bell,NZL
MF,Matthew Garbett,NZL
MF,Marko Stamenić,NZL
FW,Chris Wood,NZL
MF,Sarpreet Singh,NZL
MF,Elijah Just,NZL
GK,Alex Paulsen,NZL
DF,Liberato Cacace,NZL
MF,Alex Rufer,NZL
DF,Nando Pijnaker,NZL
DF,Finn Surman,NZL
FW,Kosta Barbarouses,NZL
FW,Ben Waine,NZL
MF,Ben Old,NZL
MF,Callum McCowatt,NZL
FW,Jesse Randall,NZL
GK,Michael Woud,NZL
MF,Ryan Thomas,NZL
DF,Callan Elliot,NZL
MF,Lachlan Bayliss,NZL
DF,Tommy Smith,NZL
GK,Vozinha,CPV
DF,Stopira,CPV
DF,Diney,CPV
DF,Roberto Lopes,CPV
DF,Logan Costa,CPV
MF,Kevin Pina,CPV
MF,Jovane Cabral,CPV
MF,João Paulo,CPV
FW,Gilson Benchimol,CPV
MF,Jamiro Monteiro,CPV
MF,Garry Rodrigues,CPV
GK,Márcio Rosa,CPV
DF,Sidny Lopes Cabral,CPV
MF,Deroy Duarte,CPV
MF,Laros Duarte,CPV
MF,Yannick Semedo,CPV
MF,Willy Semedo,CPV
MF,Telmo Arcanjo,CPV
FW,Dailon Livramento,CPV
FW,Ryan Mendes,CPV
MF,Nuno da Costa,CPV
DF,Steven Moreira,CPV
GK,CJ dos Santos,CPV
DF,Wagner Pina,CPV
DF,Kelvin Pires,CPV
MF,Hélio Varela,CPV
GK,Nawaf Al-Aqidi,KSA
DF,Ali Majrashi,KSA
DF,Ali Lajami,KSA
DF,Abdulelah Al-Amri,KSA
DF,Hassan Al-Tambakti,KSA
MF,Nasser Al-Dawsari,KSA
MF,Musab Al-Juwayr,KSA
FW,Ayman Yahya,KSA
FW,Firas Al-Buraikan,KSA
FW,Salem Al-Dawsari,KSA
FW,Saleh Al-Shehri,KSA
DF,Saud Abdulhamid,KSA
DF,Nawaf Boushal,KSA
DF,Hassan Kadesh,KSA
MF,Abdullah Al-Khaibari,KSA
MF,Ziyad Al-Johani,KSA
FW,Khalid Al-Ghannam,KSA
MF,Alaa Al-Hejji,KSA
FW,Abdullah Al-Hamdan,KSA
FW,Sultan Mandash,KSA
GK,Mohammed Al-Owais,KSA
GK,Ahmed Al-Kassar,KSA
MF,Mohamed Kanno,KSA
DF,Moteb Al-Harbi,KSA
DF,Jehad Thakri,KSA
DF,Mohammed Abu Al-Shamat,KSA
GK,David Raya,ESP
DF,Marc Pubill,ESP
DF,Álex Grimaldo,ESP
DF,Eric García,ESP
DF,Marcos Llorente,ESP
MF,Mikel Merino,ESP
FW,Ferran Torres,ESP
MF,Fabián Ruiz,ESP
MF,Gavi,ESP
FW,Dani Olmo,ESP
FW,Yéremy Pino,ESP
DF,Pedro Porro,ESP
GK,Joan Garcia,ESP
DF,Aymeric Laporte,ESP
MF,Álex Baena,ESP
MF,Rodri,ESP
FW,Nico Williams,ESP
MF,Martín Zubimendi,ESP
FW,Lamine Yamal,ESP
MF,Pedri,ESP
FW,Mikel Oyarzabal,ESP
DF,Pau Cubarsí,ESP
GK,Unai Simón,ESP
DF,Marc Cucurella,ESP
FW,Víctor Muñoz,ESP
FW,Borja Iglesias,ESP
GK,Sergio Rochet,URU
DF,José María Giménez,URU
DF,Sebastián Cáceres,URU
DF,Ronald Araújo,URU
MF,Manuel Ugarte,URU
MF,Rodrigo Bentancur,URU
MF,Nicolás de la Cruz,URU
MF,Federico Valverde,URU
FW,Darwin Núñez,URU
MF,Giorgian de Arrascaeta,URU
FW,Facundo Pellistri,URU
GK,Santiago Mele,URU
DF,Guillermo Varela,URU
MF,Agustín Canobbio,URU
MF,Emiliano Martínez 2,URU
DF,Mathías Olivera,URU
DF,Matías Viña,URU
FW,Brian Rodríguez,URU
FW,Rodrigo Aguirre,URU
MF,Maximiliano Araújo,URU
FW,Federico Viñas,URU
MF,Joaquín Piquerez,URU
GK,Fernando Muslera,URU
DF,Santiago Bueno,URU
MF,Juan Manuel Sanabria,URU
MF,Rodrigo Zalazar,URU
GK,Brice Samba,FRA
DF,Malo Gusto,FRA
DF,Lucas Digne,FRA
DF,Dayot Upamecano,FRA
DF,Jules Koundé,FRA
MF,Manu Koné,FRA
FW,Ousmane Dembélé,FRA
MF,Aurélien Tchouaméni,FRA
FW,Marcus Thuram,FRA
FW,Kylian Mbappé,FRA
FW,Michael Olise,FRA
FW,Bradley Barcola,FRA
MF,N'Golo Kanté,FRA
MF,Adrien Rabiot,FRA
DF,Ibrahima Konaté,FRA
GK,Mike Maignan,FRA
DF,William Saliba,FRA
MF,Warren Zaïre-Emery,FRA
DF,Théo Hernandez,FRA
FW,Désiré Doué,FRA
DF,Lucas Hernandez,FRA
FW,Jean-Philippe Mateta,FRA
GK,Robin Risser,FRA
MF,Rayan Cherki,FRA
MF,Maghnes Akliouche,FRA
DF,Maxence Lacroix,FRA
GK,Fahad Talib,IRQ
DF,Rebin Sulaka,IRQ
DF,Hussein Ali,IRQ
DF,Zaid Tahseen,IRQ
DF,Akam Hashim,IRQ
DF,Manaf Younis,IRQ
MF,Youssef Amyn,IRQ
MF,Ibrahim Bayesh,IRQ
FW,Ali Al-Hamadi,IRQ
FW,Mohanad Ali,IRQ
FW,Ahmed Qasem,IRQ
GK,Jalal Hassan,IRQ
FW,Ali Yousif,IRQ
MF,Zidane Iqbal,IRQ
DF,Ahmed Yahya,IRQ
MF,Amir Al-Ammari,IRQ
FW,Ali Jasim,IRQ
FW,Aymen Hussein,IRQ
MF,Kevin Yakob,IRQ
MF,Aimar Sher,IRQ
FW,Marko Farji,IRQ
GK,Ahmed Basil,IRQ
DF,Merchas Doski,IRQ
MF,Zaid Ismail,IRQ
DF,Mustafa Saadoon,IRQ
DF,Frans Putros,IRQ
GK,Ørjan Nyland,NOR
MF,Morten Thorsby,NOR
DF,Kristoffer Ajer,NOR
DF,Leo Østigård,NOR
DF,David Møller Wolfe,NOR
MF,Patrick Berg,NOR
FW,Alexander Sørloth,NOR
MF,Sander Berge,NOR
FW,Erling Haaland,NOR
MF,Martin Ødegaard,NOR
FW,Jørgen Strand Larsen,NOR
GK,Sander Tangvik,NOR
GK,Egil Selvik,NOR
MF,Fredrik Aursnes,NOR
DF,Fredrik André Bjørkan,NOR
DF,Marcus Holmgren Pedersen,NOR
DF,Torbjørn Heggem,NOR
MF,Kristian Thorstvedt,NOR
MF,Thelo Aasgaard,NOR
FW,Antonio Nusa,NOR
MF,Andreas Schjelderup,NOR
MF,Oscar Bobb,NOR
MF,Jens Petter Hauge,NOR
DF,Sondre Langås,NOR
DF,Henrik Falchener,NOR
FW,Julian Ryerson,NOR
GK,Yehvann Diouf,SEN
DF,Mamadou Sarr,SEN
DF,Kalidou Koulibaly,SEN
DF,Abdoulaye Seck,SEN
MF,Idrissa Gueye,SEN
MF,Pathé Ciss,SEN
FW,Assane Diao,SEN
MF,Lamine Camara,SEN
FW,Bamba Dieng,SEN
FW,Sadio Mané,SEN
FW,Nicolas Jackson,SEN
FW,Cherif Ndiaye,SEN
FW,Iliman Ndiaye,SEN
DF,Ismail Jakobs,SEN
DF,Krépin Diatta,SEN
GK,Édouard Mendy,SEN
MF,Pape Matar Sarr,SEN
FW,Ismaïla Sarr,SEN
DF,Moussa Niakhaté,SEN
FW,Ibrahim Mbaye,SEN
MF,Habib Diarra,SEN
MF,Bara Sapoko Ndiaye,SEN
GK,Mory Diaw,SEN
DF,Antoine Mendy,SEN
DF,El Hadji Malick Diouf,SEN
MF,Pape Gueye,SEN
GK,Melvin Mastil,ALG
DF,Aïssa Mandi,ALG
DF,Achref Abada,ALG
DF,Mohamed Amine Tougai,ALG
DF,Zineddine Belaïd,ALG
MF,Ramiz Zerrouki,ALG
FW,Riyad Mahrez,ALG
MF,Houssem Aouar,ALG
FW,Amine Gouiri,ALG
MF,Farès Chaïbi,ALG
FW,Anis Hadj Moussa,ALG
FW,Nadhir Benbouali,ALG
DF,Jaouen Hadjam,ALG
MF,Hicham Boudaoui,ALG
DF,Rayan Aït-Nouri,ALG
GK,Oussama Benbot,ALG
DF,Rafik Belghali,ALG
FW,Mohamed Amoura,ALG
MF,Nabil Bentaleb,ALG
FW,Adil Boulbina,ALG
DF,Ramy Bensebaini,ALG
MF,Ibrahim Maza,ALG
GK,Luca Zidane,ALG
MF,Yacine Titraoui,ALG
FW,Farès Ghedjemis,ALG
DF,Samir Chergui,ALG
GK,Juan Musso,ARG
DF,Leonardo Balerdi,ARG
DF,Nicolás Tagliafico,ARG
DF,Gonzalo Montiel,ARG
MF,Leandro Paredes,ARG
DF,Lisandro Martínez,ARG
MF,Rodrigo De Paul,ARG
MF,Valentín Barco,ARG
FW,Julián Alvarez,ARG
FW,Lionel Messi,ARG
MF,Giovani Lo Celso,ARG
GK,Gerónimo Rulli,ARG
DF,Cristian Romero,ARG
MF,Exequiel Palacios,ARG
MF,Nicolás González,ARG
FW,Thiago Almada,ARG
FW,Giuliano Simeone,ARG
FW,Nico Paz,ARG
DF,Nicolás Otamendi,ARG
MF,Alexis Mac Allister,ARG
FW,José Manuel López,ARG
FW,Lautaro Martínez,ARG
GK,Emiliano Martínez,ARG
MF,Enzo Fernández,ARG
DF,Facundo Medina,ARG
DF,Nahuel Molina,ARG
GK,Alexander Schlager,AUT
DF,David Affengruber,AUT
DF,Kevin Danso,AUT
MF,Xaver Schlager,AUT
DF,Stefan Posch,AUT
MF,Nicolas Seiwald,AUT
FW,Marko Arnautović,AUT
DF,David Alaba,AUT
MF,Marcel Sabitzer,AUT
MF,Florian Grillitsch,AUT
FW,Michael Gregoritsch,AUT
GK,Florian Wiegele,AUT
GK,Patrick Pentz,AUT
FW,Saša Kalajdžić,AUT
DF,Philipp Lienhart,AUT
DF,Phillipp Mwene,AUT
MF,Carney Chukwuemeka,AUT
MF,Romano Schmid,AUT
MF,Konrad Laimer,AUT
FW,Patrick Wimmer,AUT
MF,Alexander Prass,AUT
DF,Marco Friedl,AUT
MF,Paul Wanner,AUT
DF,Michael Svoboda,AUT
MF,Alessandro Schöpf,AUT
GK,Yazeed Abulaila,JOR
DF,Mohammad Abu Hashish,JOR
DF,Abdallah Nasib,JOR
DF,Husam Abu Dahab,JOR
DF,Yazan Al-Arab,JOR
MF,Amer Jamous,JOR
FW,Mohammad Abu Zrayq,JOR
MF,Noor Al-Rawabdeh,JOR
FW,Ali Olwan,JOR
FW,Musa Al-Taamari,JOR
FW,Odeh Al-Fakhouri,JOR
GK,Nour Bani Attiah,JOR
FW,Mahmoud Al-Mardi,JOR
MF,Rajaei Ayed,JOR
MF,Ibrahim Sadeh,JOR
DF,Mo Abualnadi,JOR
DF,Salim Obaid,JOR
FW,Ibrahim Sabra,JOR
DF,Saed Al-Rosan,JOR
MF,Mohannad Abu Taha,JOR
MF,Nizar Al-Rashdan,JOR
GK,Abdallah Al-Fakhouri,JOR
DF,Ihsan Haddad,JOR
FW,Ali Azaizeh,JOR
MF,Mohammad Al-Dawoud,JOR
DF,Anas Badawi,JOR
GK,David Ospina,COL
DF,Daniel Muñoz,COL
DF,Jhon Lucumí,COL
DF,Santiago Arias,COL
MF,Kevin Castaño,COL
MF,Richard Ríos,COL
FW,Luis Díaz,COL
MF,Jorge Carrascal,COL
FW,Jhon Córdoba,COL
MF,James Rodríguez,COL
MF,Jhon Arias,COL
GK,Camilo Vargas,COL
DF,Yerry Mina,COL
DF,Gustavo Puerta,COL
MF,Juan Portilla,COL
MF,Jefferson Lerma,COL
DF,Johan Mojica,COL
DF,Willer Ditta,COL
FW,Cucho Hernández,COL
MF,Juan Fernando Quintero,COL
FW,Jaminton Campaz,COL
DF,Deiver Machado,COL
DF,Davinson Sánchez,COL
GK,Álvaro Montero,COL
FW,Luis Suárez,COL
FW,Andrés Gómez,COL
GK,Lionel Mpasi,COD
DF,Aaron Wan-Bissaka,COD
DF,Steve Kapuadi,COD
DF,Axel Tuanzebe,COD
DF,Dylan Batubinsika,COD
MF,Ngal'ayel Mukau,COD
MF,Nathanaël Mbuku,COD
MF,Samuel Moutoussamy,COD
FW,Brian Cipenga,COD
MF,Théo Bongonda,COD
FW,Gaël Kakuta,COD
DF,Joris Kayembe,COD
FW,Meschak Elia,COD
MF,Noah Sadiki,COD
MF,Aaron Tshibola,COD
GK,Timothy Fayulu,COD
FW,Cédric Bakambu,COD
MF,Charles Pickel,COD
FW,Fiston Mayele,COD
FW,Yoane Wissa,COD
GK,Matthieu Epolo,COD
DF,Chancel Mbemba,COD
FW,Simon Banza,COD
DF,Gédéon Kalulu,COD
MF,Edo Kayembe,COD
DF,Arthur Masuaku,COD
GK,Diogo Costa,POR
DF,Nélson Semedo,POR
DF,Rúben Dias,POR
DF,Tomás Araújo,POR
DF,Diogo Dalot,POR
MF,Matheus Nunes,POR
FW,Cristiano Ronaldo,POR
MF,Bruno Fernandes,POR
FW,Gonçalo Ramos,POR
MF,Bernardo Silva,POR
FW,João Félix,POR
GK,José Sá,POR
DF,Renato Veiga,POR
DF,Gonçalo Inácio,POR
MF,João Neves,POR
FW,Francisco Trincão,POR
FW,Rafael Leão,POR
FW,Pedro Neto,POR
FW,Gonçalo Guedes,POR
DF,João Cancelo,POR
MF,Rúben Neves,POR
GK,Rui Silva,POR
MF,Vitinha,POR
DF,Samú Costa,POR
DF,Nuno Mendes,POR
FW,Francisco Conceição,POR
GK,Utkir Yusupov,UZB
DF,Abdukodir Khusanov,UZB
DF,Khojiakbar Alijonov,UZB
DF,Farrukh Sayfiev,UZB
DF,Rustam Ashurmatov,UZB
MF,Akmal Mozgovoy,UZB
MF,Otabek Shukurov,UZB
MF,Jamshid Iskanderov,UZB
MF,Odiljon Hamrobekov,UZB
MF,Jaloliddin Masharipov,UZB
MF,Oston Urunov,UZB
GK,Abduvohid Nematov,UZB
DF,Sherzod Nasrullaev,UZB
FW,Eldor Shomurodov,UZB
DF,Umar Eshmurodov,UZB
GK,Botirali Ergashev,UZB
MF,Dostonbek Khamdamov,UZB
DF,Abdulla Abdullaev,UZB
MF,Azizjon Ganiev,UZB
FW,Azizbek Amonov,UZB
FW,Igor Sergeev,UZB
MF,Abbosbek Fayzullaev,UZB
MF,Sherzod Esanov,UZB
DF,Bekhruz Karimov,UZB
DF,Avazbek Ulmasaliev,UZB
DF,Jakhongir Urozov,UZB
GK,Dominik Livaković,CRO
DF,Josip Stanišić,CRO
DF,Marin Pongračić,CRO
DF,Joško Gvardiol,CRO
DF,Duje Ćaleta-Car,CRO
DF,Josip Šutalo,CRO
MF,Nikola Moro,CRO
MF,Mateo Kovačić,CRO
FW,Andrej Kramarić,CRO
MF,Luka Modrić,CRO
FW,Ante Budimir,CRO
GK,Ivor Pandur,CRO
MF,Nikola Vlašić,CRO
FW,Ivan Perišić,CRO
MF,Mario Pašalić,CRO
MF,Martin Baturina,CRO
MF,Petar Sučić,CRO
DF,Kristijan Jakić,CRO
MF,Toni Fruk,CRO
FW,Igor Matanović,CRO
MF,Luka Sučić,CRO
DF,Luka Vušković,CRO
GK,Dominik Kotarski,CRO
FW,Marco Pašalić,CRO
DF,Martin Erlić,CRO
FW,Petar Musa,CRO
GK,Jordan Pickford,ENG
DF,Ezri Konsa,ENG
DF,Nico O'Reilly,ENG
MF,Declan Rice,ENG
DF,John Stones,ENG
DF,Marc Guéhi,ENG
FW,Bukayo Saka,ENG
MF,Elliot Anderson,ENG
FW,Harry Kane,ENG
MF,Jude Bellingham,ENG
FW,Marcus Rashford,ENG
DF,Tino Livramento,ENG
GK,Dean Henderson,ENG
MF,Jordan Henderson,ENG
DF,Dan Burn,ENG
MF,Kobbie Mainoo,ENG
MF,Morgan Rogers,ENG
FW,Anthony Gordon,ENG
FW,Ollie Watkins,ENG
FW,Noni Madueke,ENG
MF,Eberechi Eze,ENG
FW,Ivan Toney,ENG
GK,James Trafford,ENG
DF,Reece James,ENG
DF,Djed Spence,ENG
DF,Jarell Quansah,ENG
GK,Lawrence Ati-Zigi,GHA
DF,Alidu Seidu,GHA
MF,Caleb Yirenkyi,GHA
DF,Jonas Adjetey,GHA
MF,Thomas Partey,GHA
DF,Abdul Mumin,GHA
FW,Abdul Fatawu,GHA
MF,Kwasi Sibo,GHA
FW,Jordan Ayew,GHA
FW,Brandon Thomas-Asante,GHA
MF,Antoine Semenyo,GHA
GK,Joseph Anang,GHA
FW,Christopher Bonsu Baah,GHA
DF,Gideon Mensah,GHA
MF,Elisha Owusu,GHA
GK,Benjamin Asare,GHA
DF,Abdul Rahman Baba,GHA
DF,Jerome Opoku,GHA
FW,Iñaki Williams,GHA
MF,Augustine Boakye,GHA
DF,Kojo Peprah Oppong,GHA
FW,Kamaldeen Sulemana,GHA
DF,Derrick Luckassen,GHA
FW,Ernest Nuamah,GHA
FW,Prince Kwabena Adu,GHA
DF,Marvin Senaya,GHA
GK,Luis Mejía,PAN
DF,César Blackman,PAN
DF,José Córdoba,PAN
DF,Fidel Escobar,PAN
DF,Edgardo Fariña,PAN
MF,Cristian Martínez,PAN
MF,José Luis Rodríguez,PAN
MF,Adalberto Carrasquilla,PAN
FW,Tomás Rodríguez,PAN
MF,Ismael Díaz,PAN
MF,Yoel Bárcenas,PAN
GK,César Samudio,PAN
DF,Jiovany Ramos,PAN
DF,Carlos Harvey,PAN
DF,Eric Davis,PAN
DF,Andrés Andrade,PAN
FW,José Fajardo,PAN
FW,Cecilio Waterman,PAN
MF,Alberto Quintero,PAN
MF,Aníbal Godoy,PAN
MF,César Yanis,PAN
GK,Orlando Mosquera,PAN
DF,Michael Amir Murillo,PAN
FW,Azarias Londoño,PAN
DF,Roderick Miller,PAN
DF,Jorge Gutiérrez,PAN
